Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Jaundice,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Jaundice,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Jaundice,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Jaundice,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Jaundice,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Jaundice,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Malaria,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Malaria,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Malaria,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Malaria,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Malaria,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Malaria,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Malaria,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Malaria,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Malaria,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Malaria,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Chicken pox,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Chicken pox,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Chicken pox,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Chicken pox,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Chicken pox,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Chicken pox,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Chicken pox,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Chicken pox,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Chicken pox,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Chicken pox,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Dengue,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Dengue,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Dengue,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Dengue,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Dengue,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Dengue,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Dengue,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Dengue,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Dengue,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Dengue,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Typhoid,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Typhoid,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Typhoid,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Typhoid,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Typhoid,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Typhoid,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Typhoid,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Typhoid,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Typhoid,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Typhoid,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
hepatitis A,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
hepatitis A,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
hepatitis A,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
hepatitis A,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
hepatitis A,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
hepatitis A,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
hepatitis A,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
hepatitis A,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
hepatitis A,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
hepatitis A,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Hepatitis B,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Hepatitis B,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Hepatitis B,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Hepatitis B,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Hepatitis B,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Hepatitis B,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Hepatitis B,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Hepatitis B,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Hepatitis B,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Hepatitis B,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Hepatitis C,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hepatitis C,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Hepatitis C,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Hepatitis C,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Hepatitis C,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Hepatitis C,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Hepatitis C,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Hepatitis C,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Hepatitis C,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Hepatitis C,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Hepatitis D,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Hepatitis D,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Hepatitis D,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Hepatitis D,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Hepatitis D,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Hepatitis D,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Hepatitis D,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Hepatitis D,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Hepatitis D,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hepatitis D,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Hepatitis E,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
